estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat,id
"Logged nat gas production on RGGIxPost, CO2",.13,.11,1.181818181818182,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,1.1818181,"rggiLogged nat gas production on RGGIxPost, CO2"
"Logged coal production on RGGIxPost , SO2",-.89,.39,-2.282051282051282,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,2.2820513,"rggiLogged coal production on RGGIxPost , SO2"
"Logged nat gas production on RGGIxPost, SO2",-.15,.13,-1.153846153846154,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,1.1538461,"rggiLogged nat gas production on RGGIxPost, SO2"
"Logged nat gas production on POxPost , SO2",1.14,.19,5.999999999999999,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,6,"rggiLogged nat gas production on POxPost , SO2"
Share of land cropped post-auction ,-.075,.007,-10.71428571428571,,,,1,1,russo_crp,1,1,1,73,1,1,1,1,1,10.714286,russo_crpShare of land cropped post-auction 
Demand elasticity of fuel ,-.28,.053030303030303,5.28,,,,1,1,sent_ch_gas,1,1,1,74,1,1,1,1,1,5.2800002,sent_ch_gasDemand elasticity of fuel 
Experience exponent,.421,.063,6.682539682539682,,,,1,1,sent_ch_gas,1,1,1,74,1,1,1,1,1,6.6825395,sent_ch_gasExperience exponent
Experience exponent,.194,.041,4.73170731707317,,,,1,1,shirmali_ptc,1,1,1,75,1,1,1,1,1,4.7317071,shirmali_ptcExperience exponent
annual wind capacity additions on PTC ,28.15,12.06,2.334162520729685,,,,1,1,shirmali_ptc,1,1,1,75,1,1,1,1,1,2.3341625,shirmali_ptcannual wind capacity additions on PTC 
Experience exponent,.421,.063,6.682539682539682,,,,1,1,small_gas_lr,1,1,1,76,1,1,1,1,1,6.6825395,small_gas_lrExperience exponent
Demand elasticity of solar photovoltaics,-.334,.0451,-7.405764966740577,,,,1,1,small_gas_lr,1,1,1,76,1,1,1,1,1,7.4057651,small_gas_lrDemand elasticity of solar photovoltaics
Treatment Effect on average pre-incentive installed price (2014$/W),-.64,.07,-9.142857142857142,,,,1,1,solarize,1,1,1,78,1,1,1,1,1,9.1428576,solarizeTreatment Effect on average pre-incentive installed price (2014$/W)
"Treatment Effect on average pre-incentive installed price (2014$/W), randomized across CT",-.15,.03,-5,,,,1,1,solarize,1,1,1,78,1,1,1,1,1,5,"solarizeTreatment Effect on average pre-incentive installed price (2014$/W), randomized across CT"
Experience exponent,.319,.043,7.418604651162791,,,,1,1,solarize,1,1,1,78,1,1,1,1,1,7.4186049,solarizeExperience exponent
Demand elasticity of gasoline ,-.397,.1575396825396825,2.52,,,,1,1,su_gas,1,1,1,79,1,1,1,1,1,2.52,su_gasDemand elasticity of gasoline 
Experience exponent,.421,.063,6.682539682539682,,,,1,1,su_gas,1,1,1,79,1,1,1,1,1,6.6825395,su_gasExperience exponent
"Percent change in consumption of gas from WAP, IV-FE",-.21,.08,-2.625,,,,1,1,wap,1,1,1,82,1,1,1,1,1,2.625,"wapPercent change in consumption of gas from WAP, IV-FE"
"Percent change in consumption of electricity from WAP, IV-FE",-.1,.1,-1,,,,1,1,wap,1,1,1,82,1,1,1,1,1,1,"wapPercent change in consumption of electricity from WAP, IV-FE"
"Percent change in consumption of electricity from WAP, IV-FE",-.1,.1,-1,,,,1,1,wap_nudge,1,1,1,83,1,1,1,1,1,1,"wap_nudgePercent change in consumption of electricity from WAP, IV-FE"
Encouragement on Weatherization,.05,.0194112241564732,2.5758293035489,.01,,,1,1,wap_nudge,1,1,1,83,1,1,1,1,1,2.5758293,wap_nudgeEncouragement on Weatherization
"Percent change in consumption of gas from WAP, IV-FE",-.21,.08,-2.625,,,,1,1,wap_nudge,1,1,1,83,1,1,1,1,1,2.625,"wap_nudgePercent change in consumption of gas from WAP, IV-FE"
Measured natural gas use (therms/day) on post audit (>= 6 months) indicator,.064,.037,1.72972972972973,,,,1,0,wisc_rf,1,1,1,85,1,1,1,1,1,1.7297298,wisc_rfMeasured natural gas use (therms/day) on post audit (>= 6 months) indicator
Measured electricty use (kWh/day) on post investment (>= 6 months) indicator,-.193,.347,-.5561959654178675,,,,1,1,wisc_rf,1,1,1,85,1,1,1,1,1,.55619597,wisc_rfMeasured electricty use (kWh/day) on post investment (>= 6 months) indicator
Measured electricty use (kWh/day) on post audit (>= 6 months) indicator,-.949,.353,-2.688385269121813,,,,1,1,wisc_rf,1,1,1,85,1,1,1,1,1,2.6883852,wisc_rfMeasured electricty use (kWh/day) on post audit (>= 6 months) indicator
Measured natural gas use (therms/day) on post investment  (>= 6 months) indicator,-.46,.037,-12.43243243243243,,,,1,1,wisc_rf,1,1,1,85,1,1,1,1,1,12.432432,wisc_rfMeasured natural gas use (therms/day) on post investment  (>= 6 months) indicator
